iter	Passed	Remaining
578	14378	60120
579	14401	60087
580	14426	60064
581	14452	60046
582	14475	60014
583	14503	60001
584	14528	59975
585	14550	59941
586	14576	59919
587	14598	59882
588	14621	59850
589	14647	59832
590	14669	59796
591	14691	59758
592	14711	59715
593	14737	59694
594	14763	59672
595	14788	59648
596	14811	59616
597	14836	59593
598	14861	59568
599	14896	59586
600	14922	59566
601	14953	59564
602	14976	59533
603	15001	59508
604	15026	59485
605	15049	59452
606	15076	59437
607	15106	59431
608	15135	59423
609	15161	59403
610	15193	59405
611	15220	59389
612	15243	59358
613	15273	59353
614	15303	59347
615	15329	59327
616	15352	59294
617	15381	59286
618	15407	59263
619	15435	59251
620	15465	59248
621	15489	59217
622	15511	59183
623	15533	59146
624	15559	59125
625	15585	59104
626	15605	59063
627	15625	59019
628	15652	59003
629	15678	58982
630	15700	58943
631	15721	58907
632	15747	58883
633	15767	58841
634	15792	58817
635	15817	58791
636	15849	58794
637	15873	58768
638	15899	58746
639	15922	58714
640	15947	58689
641	15969	58653
642	15994	58628
643	16015	58589
644	16039	58561
645	16066	58546
646	16089	58514
647	16116	58497
648	16142	58476
649	16165	58446
650	16191	58424
651	16220	58412
652	16248	58400
653	16274	58378
654	16298	58352
655	16327	58340
656	16348	58303
657	16377	58291
658	16404	58275
659	16428	58244
660	16452	58218
661	16481	58208
662	16507	58186
663	16531	58159
664	16552	58121
665	16574	58085
666	16595	58048
667	16616	58010
668	16641	57985
669	16663	57950
670	16684	57912
671	16706	57875
672	16733	57857
673	16753	57818
674	16777	57788
675	16802	57765
676	16822	57724
677	16847	57698
678	16870	57668
679	16895	57644
680	16920	57619
681	16944	57592
682	16976	57591
683	16998	57555
684	17019	57519
685	17043	57490
686	17068	57467
687	17093	57441
688	17121	57426
689	17148	57410
690	17177	57399
691	17205	57383
692	17229	57356
693	17252	57324
694	17276	57299
695	17300	57271
696	17323	57239
697	17347	57211
698	17371	57183
699	17394	57154
700	17418	57124
701	17444	57105
702	17467	57075
703	17496	57061
704	17523	57044
705	17543	57003
706	17567	56975
707	17591	56948
708	17614	56918
709	17644	56908
710	17665	56874
711	17688	56841
712	17713	56818
713	17735	56782
714	17764	56771
715	17789	56748
716	17813	56720
717	17843	56711
718	17868	56687
719	17889	56650
720	17912	56618
721	17937	56596
722	17957	56555
723	17981	56527
724	18002	56489
725	18034	56488
726	18063	56477
727	18088	56452
728	18115	56434
729	18143	56420
730	18171	56402
731	18200	56390
732	18224	56365
733	18251	56346
734	18276	56321
735	18299	56292
736	18322	56260
737	18347	56235
738	18375	56219
739	18397	56186
740	18420	56155
741	18442	56124
742	18470	56107
743	18495	56082
744	18519	56056
745	18538	56014
746	18561	55981
747	18586	55956
748	18606	55919
749	18631	55893
750	18652	55858
751	18678	55836
752	18700	55804
753	18726	55782
754	18748	55748
755	18768	55709
756	18791	55679
757	18813	55646
758	18836	55615
759	18858	55581
760	18885	55565
761	18909	55537
762	18931	55503
763	18955	55475
764	18979	55450
765	19000	55413
766	19026	55391
767	19054	55377
768	19083	55364
769	19111	55348
770	19138	55331
771	19162	55304
772	19190	55286
773	19218	55270
774	19247	55258
775	19278	55252
776	19304	55230
777	19330	55209
778	19356	55185
779	19382	55166
780	19409	55147
781	19432	55117
782	19455	55085
783	19481	55064
784	19505	55039
785	19531	55015
786	19552	54980
787	19583	54971
788	19605	54941
789	19632	54921
790	19654	54889
791	19680	54867
792	19701	54831
793	19722	54795
794	19744	54763
795	19769	54739
796	19794	54713
797	19814	54677
798	19835	54640
799	19859	54613
800	19880	54579
801	19905	54552
802	19928	54525
803	19949	54488
804	19976	54469
805	19999	54440
806	20024	54416
807	20049	54391
808	20073	54363
809	20103	54354
810	20132	54340
811	20158	54317
812	20183	54293
813	20210	54275
814	20232	54242
815	20257	54219
816	20285	54203
817	20307	54170
818	20335	54154
819	20360	54127
820	20385	54106
821	20409	54076
822	20437	54061
823	20463	54040
824	20489	54018
825	20521	54010
826	20544	53983
827	20569	53956
828	20590	53922
829	20617	53902
830	20641	53877
831	20665	53848
832	20685	53812
833	20710	53788
834	20731	53753
835	20760	53739
836	20784	53711
837	20804	53675
838	20830	53652
839	20855	53628
840	20879	53602
841	20908	53586
